userid_A,userid_B,liked,
87,79,FALSE,
42,31,TRUE,
34,21,FALSE,
33,31,FALSE,
60,62,FALSE,
68,51,TRUE,
72,66,FALSE,
107,103,FALSE,
23,25,FALSE,
65,75,TRUE,
26,38,FALSE,
30,34,FALSE,
9,21,FALSE,
84,88,TRUE,
110,103,FALSE,
116,104,TRUE,
16,26,FALSE,
106,118,TRUE,
16,26,FALSE,
91,73,FALSE,
35,29,TRUE,
68,62,FALSE,
19,7,FALSE,
80,94,TRUE,
79,80,TRUE,
109,103,FALSE,
39,44,TRUE,
38,37,FALSE,
74,83,FALSE,
41,38,FALSE,
27,37,FALSE,
55,57,FALSE,
38,40,TRUE,
60,59,TRUE,
26,17,TRUE,
77,69,TRUE,
48,42,FALSE,
97,87,FALSE,
65,63,FALSE,
10,22,TRUE,
29,38,FALSE,
49,45,TRUE,
24,21,TRUE,
75,76,TRUE,
48,52,TRUE,
32,31,FALSE,
10,16,FALSE,
102,93,TRUE,
109,96,FALSE,
97,83,FALSE,
93,103,TRUE,
77,85,TRUE,
98,102,TRUE,
42,24,TRUE,
39,37,FALSE,
67,70,TRUE,
94,91,TRUE,
107,109,FALSE,
71,86,FALSE,
48,56,TRUE,
17,18,TRUE,
48,30,TRUE,
73,74,FALSE,
87,78,FALSE,
79,74,TRUE,
85,75,FALSE,
83,75,TRUE,
106,96,TRUE,
83,91,TRUE,
103,92,TRUE,
27,24,TRUE,
29,30,FALSE,
105,104,FALSE,
67,71,TRUE,
11,20,TRUE,
39,46,TRUE,
50,38,FALSE,
62,54,TRUE,
93,94,FALSE,
81,75,TRUE,
45,39,FALSE,
107,108,TRUE,
10,21,TRUE,
95,86,TRUE,
89,83,TRUE,
35,42,TRUE,
78,64,FALSE,
53,54,TRUE,
92,73,FALSE,
30,22,TRUE,
65,78,TRUE,
24,28,TRUE,
35,46,FALSE,
95,102,FALSE,
80,77,TRUE,
101,104,FALSE,
96,93,TRUE,
71,81,TRUE,
16,25,FALSE,
46,43,TRUE,
99,81,TRUE,
28,13,TRUE,
113,109,TRUE,
24,22,TRUE,
34,26,FALSE,
30,18,TRUE,
111,114,FALSE,
38,22,FALSE,
52,42,TRUE,
65,70,TRUE,
56,43,FALSE,
78,61,TRUE,
39,42,FALSE,
98,84,TRUE,
88,86,FALSE,
38,26,FALSE,
1,18,FALSE,
54,51,TRUE,
70,79,FALSE,
38,33,TRUE,
100,103,TRUE,
87,91,TRUE,
39,30,FALSE,
55,64,TRUE,
81,84,FALSE,
45,48,FALSE,
57,60,FALSE,
78,73,FALSE,
49,47,TRUE,
75,74,TRUE,
93,81,FALSE,
32,22,TRUE,
40,54,FALSE,
67,72,FALSE,
84,90,TRUE,
50,64,FALSE,
48,55,TRUE,
46,39,FALSE,
52,61,FALSE,
40,37,FALSE,
21,22,FALSE,
110,99,FALSE,
20,21,FALSE,
25,19,TRUE,
32,26,FALSE,
60,59,FALSE,
38,29,TRUE,
51,41,FALSE,
17,20,TRUE,
73,67,TRUE,
53,39,TRUE,
22,6,TRUE,
38,31,FALSE,
69,72,TRUE,
82,72,TRUE,
17,2,TRUE,
32,43,FALSE,
43,31,FALSE,
67,59,FALSE,
53,46,TRUE,
112,95,FALSE,
41,48,TRUE,
88,85,TRUE,
32,23,FALSE,
27,32,FALSE,
45,38,TRUE,
20,14,FALSE,
33,29,TRUE,
77,82,TRUE,
13,12,TRUE,
92,111,FALSE,
73,71,FALSE,
18,7,TRUE,
72,65,FALSE,
17,33,TRUE,
48,38,TRUE,
91,85,TRUE,
34,25,TRUE,
13,2,TRUE,
31,27,TRUE,
100,115,FALSE,
49,41,FALSE,
113,115,FALSE,
13,18,FALSE,
63,53,FALSE,
87,89,TRUE,
32,34,TRUE,
31,22,TRUE,
20,10,FALSE,
63,73,FALSE,
22,20,TRUE,
89,86,TRUE,
88,86,FALSE,
58,54,TRUE,
25,34,FALSE,
109,114,FALSE,
78,73,TRUE,
24,21,FALSE,
50,47,TRUE,
82,96,FALSE,
55,64,FALSE,
41,26,TRUE,
84,83,TRUE,
89,82,TRUE,
39,34,TRUE,
21,39,FALSE,
5,22,FALSE,
66,72,TRUE,
117,112,TRUE,
102,91,TRUE,
61,56,TRUE,
84,78,FALSE,
89,90,FALSE,
39,47,FALSE,
83,88,TRUE,
28,38,FALSE,
81,96,TRUE,
22,20,TRUE,
22,26,TRUE,
73,75,TRUE,
71,84,TRUE,
81,86,FALSE,
15,17,TRUE,
56,42,FALSE,
79,74,TRUE,
30,29,TRUE,
68,73,TRUE,
63,66,TRUE,
101,100,TRUE,
53,41,FALSE,
98,106,TRUE,
26,18,TRUE,
47,50,FALSE,
